observation_file,corrected_file,fit_method,rms_threshold,max_iterations,n_first,n_last,rjd_ref,intercept,slope,n_fit_points
HD189733_esp19_3.rdb,HD189733_esp19_3_linear_corrected.csv,edge_points,,,3,3,59437.62154584983,-2222.5125684064537,-574.5409703995812,6
HD189733_esp19_4.rdb,HD189733_esp19_4_linear_corrected.csv,edge_points,,,3,3,59457.61327546998,-2242.6136613374974,-558.1651369348613,6
HD209458_esp19_1.rdb,HD209458_esp19_1_linear_corrected.csv,edge_points,,,4,4,58684.78115850501,-14803.29264735452,-148.3664756179009,8
HD209458_esp19_2.rdb,HD209458_esp19_2_linear_corrected.csv,edge_points,,,2,2,58696.808211860014,-14840.52690873779,135.8691482319864,4
HD209458_esp19_4.rdb,HD209458_esp19_4_linear_corrected.csv,edge_points,,,5,5,58737.64652648009,-14799.765239471648,-149.2523443362281,10
K2139_esp19_1.rdb,K2139_esp19_1_linear_corrected.csv,edge_points,,,7,7,60135.71515546995,-31336.84884493304,6.192228538230208,14
WASP20_esp19_1.rdb,WASP20_esp19_1_linear_corrected.csv,edge_points,,,7,7,59522.6490084501,1267.9529455116317,-55.38007117736665,14
WASP31_esp19_1.rdb,WASP31_esp19_1_linear_corrected.csv,edge_points,,,4,5,59606.82422643015,-283.30675793612033,-150.61334668606662,9
WASP31_esp19_3.rdb,WASP31_esp19_3_linear_corrected.csv,edge_points,,,4,5,60001.86814620998,-273.4646893130246,-105.33589923797722,9
WASP50_esp19_1.rdb,WASP50_esp19_1_linear_corrected.csv,edge_points,,,4,5,59816.89581215009,25373.269670919253,-802.5093801223594,9
WASP54_esp19_1.rdb,WASP54_esp19_1_linear_corrected.csv,edge_points,,,4,5,59311.86696281983,-3256.514479515314,-108.18393731801162,9
WASP54_esp19_2.rdb,WASP54_esp19_2_linear_corrected.csv,edge_points,,,6,10,59348.754823169904,-3250.9757834456764,-116.57306085787869,16
WASP54_esp19_1.rdb,WASP54_esp19_1_linear_corrected.csv,edge_points,,,4,10,59311.85658987984,-3256.862909432477,-113.19304483855011,14
WASP62_esp19_1.rdb,WASP62_esp19_1_linear_corrected.csv,edge_points,,,5,4,59574.57002572995,14824.285056367893,-92.87832814445035,9
WASP62_esp19_2.rdb,WASP62_esp19_2_linear_corrected.csv,edge_points,,,5,4,59596.59020846011,14856.249098835044,-133.69058780421386,9
WASP74_esp19_1.rdb,WASP74_esp19_1_linear_corrected.csv,edge_points,,,7,10,59375.878802299965,-15896.940745790473,-312.6863982887149,17
WASP106_esp19_1.rdb,WASP106_esp19_1_linear_corrected.csv,edge_points,,,3,4,60021.83048720984,17125.44835908185,-103.33892697650383,7
WASP118_esp19_1.rdb,WASP118_esp19_1_linear_corrected.csv,edge_points,,,4,8,59498.820760145085,5663.3097583719755,-105.77671802173673,12
WASP121_esp18_1.rdb,WASP121_esp18_1_linear_corrected.csv,edge_points,,,4,8,58490.84102915996,38087.34890205498,-672.767647868505,12
WASP122_esp19_1.rdb,WASP122_esp19_1_linear_corrected.csv,edge_points,,,4,8,59233.83586936002,34405.29516053634,-658.4245697357628,12
WASP122_esp19_2.rdb,WASP122_esp19_2_linear_corrected.csv,edge_points,,,4,8,59257.77255193493,34414.48389215148,-661.1380457303994,12
WASP126_esp19_1.rdb,WASP126_esp19_1_linear_corrected.csv,edge_points,,,4,8,58807.7780103751,29190.342649964256,-43.14739298105004,12
WASP130_esp19_1.rdb,WASP130_esp19_1_linear_corrected.csv,edge_points,,,4,8,59739.667790979845,1322.3652519838686,-48.890412252085646,12
WASP131_esp19_1.rdb,WASP131_esp19_1_linear_corrected.csv,edge_points,,,4,8,59282.87727696006,-19722.284368753466,-36.732954438119016,12
WASP131_esp19_2.rdb,WASP131_esp19_2_linear_corrected.csv,edge_points,,,10,15,59298.81491297018,-19721.169815362548,-26.11151092506084,25
WASP166_esp19_1.rdb,WASP166_esp19_1_linear_corrected.csv,edge_points,,,10,15,59215.8653019201,23494.203661284122,-4.672834512025412,25
WASP166_esp19_2.rdb,WASP166_esp19_2_linear_corrected.csv,edge_points,,,10,15,59264.83351797983,23504.758970089097,-9.097288562807979,25
