rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
58696.758753289934,-14847.099193,-6.6,8868.107177,-14.893,48.456613,167.315313,0.192803,0.378001,0.13057,-4.851681
58696.7670556698,-14846.285799,-5.49,8865.212046,-18.364299,48.473442,166.940233,0.192935,0.378549,0.130211,-4.853713
58696.77548096003,-14845.261522,-4.37,8867.967207,-17.343885,48.466288,166.590442,0.192484,0.378075,0.129876,-4.855617
58696.78328956012,-14843.781383,-3.33,8869.170519,-14.208861,48.469133,167.214494,0.192292,0.377193,0.130474,-4.852226
58696.79167870991,-14841.059677,-2.21,8867.411739,-18.2116,48.482859,166.756673,0.192687,0.377608,0.130035,-4.854712
58696.800492879935,-14841.807449,-1.04,8866.633581,-15.85498,48.450934,168.124551,0.192863,0.376824,0.131345,-4.847328
58696.80868611019,-14841.252539,0.05,8868.342927,-16.414727,48.437976,168.008879,0.192603,0.377417,0.131235,-4.847947
58696.81644624984,-14840.268327,1.09,8867.65143,-16.774112,48.434697,168.074596,0.19247,0.377351,0.131298,-4.847595
58696.82470731018,-14839.828524,2.19,8870.193367,-18.844352,48.435835,167.262239,0.192433,0.376811,0.130519,-4.851968
58696.8328391402,-14838.534989,3.27,8867.095824,-16.609883,48.457739,167.775177,0.192566,0.376782,0.131011,-4.849202
58696.84119105991,-14837.055111,4.38,8868.820227,-16.157368,48.442276,167.765966,0.192136,0.377529,0.131002,-4.849251
58696.84936805023,-14835.091813,5.47,8869.638672,-17.754079,48.453968,167.509942,0.191783,0.376664,0.130757,-4.85063
58696.85771754012,-14833.643692,6.59,8867.565462,-18.396922,48.45672,167.259612,0.192216,0.377417,0.130517,-4.851982
