rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59739.45720962994,1333.093763,6.22,6977.260223,-42.355864,58.855816,184.334621,0.209225,0.218264,0.146872,-4.859671
59739.46255365014,1332.097359,5.94,6978.837374,-44.427915,59.022673,182.258896,0.20885,0.21664,0.144884,-4.868926
59739.4676651801,1333.167644,5.68,6981.556181,-46.039774,59.055334,184.043097,0.207931,0.217055,0.146593,-4.860959
59739.47285640007,1331.012982,5.41,6982.789637,-47.134418,59.053894,184.212151,0.20823,0.215944,0.146755,-4.860212
59739.4778306298,1334.133464,5.15,6986.10182,-43.907601,59.040152,183.916714,0.208622,0.215709,0.146472,-4.861519
59739.48334043985,1332.604813,4.86,6980.283059,-45.199466,59.049347,181.737932,0.209252,0.216858,0.144385,-4.871281
59739.48846948985,1332.301914,4.6,6985.371572,-47.124042,59.048371,182.713243,0.20691,0.215881,0.145319,-4.866884
59739.49368519988,1331.869042,4.33,6987.140742,-44.042543,59.045347,182.458854,0.20862,0.215726,0.145076,-4.868026
59739.49879522016,1330.808646,4.06,6984.418932,-42.489193,59.050595,184.668389,0.208134,0.215253,0.147192,-4.858201
59739.50418358017,1331.448542,3.78,6979.740356,-41.005429,59.076971,183.937806,0.207922,0.215114,0.146492,-4.861425
59739.5091591198,1331.955751,3.52,6987.964708,-42.946064,59.02236,184.104172,0.208625,0.217548,0.146652,-4.860689
59739.514443470165,1331.943005,3.25,6981.248016,-41.645432,59.073914,182.470175,0.209075,0.215265,0.145086,-4.867975
59739.51948430017,1334.594565,2.98,6975.882167,-46.154834,59.091707,181.669674,0.206596,0.216209,0.14432,-4.87159
59739.52486870997,1338.757293,2.7,6980.171668,-40.383528,59.067595,179.428742,0.208973,0.215469,0.142173,-4.881872
59739.53026039992,1339.379608,2.42,6977.889285,-46.619222,59.099063,178.994653,0.20808,0.214368,0.141757,-4.883892
59739.53513828013,1339.644521,2.17,6982.0582,-43.448002,59.064848,181.875158,0.207233,0.214721,0.144516,-4.870659
59739.540466700215,1338.994362,1.89,6975.806084,-40.32879,59.087882,184.401229,0.208232,0.216107,0.146936,-4.859377
59739.54566209996,1338.6956,1.62,6975.150919,-44.851973,59.085835,181.783327,0.208605,0.215772,0.144428,-4.871075
59739.55091557978,1336.953123,1.35,6981.713973,-46.712424,59.061018,183.546361,0.209001,0.216487,0.146117,-4.863163
59739.55598493992,1336.312939,1.08,6986.237705,-49.44284,59.01651,180.478769,0.208325,0.215534,0.143179,-4.877024
59739.56127625005,1333.839292,0.81,6987.149761,-46.323769,59.023063,184.916248,0.210111,0.217466,0.147429,-4.857113
59739.56640081992,1331.908128,0.54,6983.473621,-44.403777,59.032471,182.986678,0.208256,0.216417,0.145581,-4.865659
59739.57169573009,1330.500802,0.27,6982.807295,-43.146811,59.033261,184.040222,0.211556,0.216947,0.14659,-4.860972
59739.57684668992,1328.297853,-0.0,6988.363614,-43.284193,58.997044,184.904154,0.20842,0.216392,0.147418,-4.857166
59739.58192679007,1326.645941,-0.26,6991.933469,-45.608961,59.014279,183.853322,0.210147,0.217123,0.146411,-4.8618
59739.5872168201,1326.077336,-0.54,6987.039896,-43.0863,59.008347,181.020925,0.209027,0.217944,0.143698,-4.874542
59739.59256740008,1322.454597,-0.82,6985.767132,-47.168109,59.007351,183.356608,0.209095,0.217453,0.145935,-4.864007
59739.5976270698,1322.779612,-1.08,6988.166822,-42.602967,59.012933,182.594232,0.208795,0.217689,0.145205,-4.867418
59739.602842600085,1321.63727,-1.35,6986.852001,-46.052123,59.021591,184.954554,0.209641,0.217614,0.147466,-4.856945
59739.608049769886,1320.433745,-1.62,6983.278238,-45.206285,59.040057,185.498729,0.211177,0.217497,0.147987,-4.854566
59739.61316318018,1318.008184,-1.89,6981.112322,-42.690373,59.04194,185.188804,0.211104,0.217338,0.14769,-4.855919
59739.618442079984,1315.808235,-2.16,6982.820365,-46.377128,59.052511,184.916209,0.210772,0.21704,0.147429,-4.857113
