observation_file,corrected_file,fit_method,rms_threshold,max_iterations,n_first,n_last,rjd_ref,intercept,slope,n_fit_points
HD189733_esp19_3.rdb,HD189733_esp19_3_linear_corrected.csv,rms_clip,1.5,5,,,59437.5757434,-2196.07891560497,-577.511751520834,19
HD189733_esp19_4.rdb,HD189733_esp19_4_linear_corrected.csv,rms_clip,1.5,5,,,59457.63618482,-2255.87791098222,-559.250492355422,18
HD209458_esp19_1.rdb,HD209458_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,58684.8413293101,-14812.1924648992,-143.882731752351,39
HD209458_esp19_4.rdb,HD209458_esp19_4_linear_corrected.csv,rms_clip,1.5,5,,,58737.70548018,-14809.1245633897,-153.359659297743,40
K2139_esp19_1.rdb,K2139_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,60135.7414448699,-31338.0011758913,-3.50936888203869,27
WASP20_esp19_1.rdb,WASP20_esp19_1_linear_corrected.csv,rms_clip,1.5,3,,,59522.609629235,1268.78900866751,-60.431648542626,34
WASP31_esp19_1.rdb,WASP31_esp19_1_linear_corrected.csv,rms_clip,1.5,3,,,59606.7917082799,-276.937412184896,-141.185846442345,19
WASP31_esp19_3.rdb,WASP31_esp19_3_linear_corrected.csv,rms_clip,1.5,5,,,60001.8009251449,-267.96166410497,-108.968102998278,12
WASP50_esp19_1.rdb,WASP50_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,59816.8568580502,25405.2036920006,-805.413155263767,26
WASP54_esp19_1.rdb,WASP54_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,59311.8000624399,-3251.34506790655,-117.873225789199,33
WASP54_esp19_2.rdb,WASP54_esp19_2_linear_corrected.csv,rms_clip,1.5,5,,,59348.7129515351,-3246.94165755988,-120.693878448415,36
WASP62_esp19_1.rdb,WASP62_esp19_1_linear_corrected.csv,edge_points,,,6,4,59574.5724898251,14823.6793105149,-90.9331946102241,10
WASP62_esp19_2.rdb,WASP62_esp19_2_linear_corrected.csv,edge_points,,,10,4,59596.60346005,14854.2795043472,-133.024809903081,14
WASP106_esp19_1.rdb,WASP106_esp19_1_linear_corrected.csv,edge_points,,,4,5,60021.8232774502,17126.5625346186,-103.428547271179,9
WASP118_esp19_1.rdb,WASP118_esp19_1_linear_corrected.csv,edge_points,,,4,10,59498.8148123401,5662.54504199605,-109.725550539577,14
WASP121_esp18_1.rdb,WASP121_esp18_1_linear_corrected.csv,edge_points,,,10,10,58490.7383799949,38156.6632210899,-679.918967449797,20
WASP126_esp19_1.rdb,WASP126_esp19_1_linear_corrected.csv,edge_points,,,10,10,58807.6840115851,29194.3474418631,-42.9371847231714,20
WASP130_esp19_1.rdb,WASP130_esp19_1_linear_corrected.csv,edge_points,,,10,8,59739.5014894002,1331.09150321313,-52.0196139914362,18
WASP131_esp19_1.rdb,WASP131_esp19_1_linear_corrected.csv,edge_points,,,10,8,59282.6807076749,-19716.3281295842,-30.6756841257488,18
WASP131_esp19_2.rdb,WASP131_esp19_2_linear_corrected.csv,edge_points,,,10,8,59298.617796225,-19715.4796224719,-39.4463221787477,18
WASP166_esp19_1.rdb,WASP166_esp19_1_linear_corrected.csv,edge_points,,,10,8,59215.6324014501,23495.3268452311,-2.79095771037801,18
WASP166_esp19_2.rdb,WASP166_esp19_2_linear_corrected.csv,edge_points,,,10,8,59264.6141362248,23506.7996341292,-5.63899139293426,18
WASP166_esp19_2.rdb,WASP166_esp19_2_linear_corrected.csv,edge_points,,,10,8,59264.6141362248,23506.7996341292,-5.63899139293426,18
WASP166_esp19_2.rdb,WASP166_esp19_2_linear_corrected.csv,edge_points,,,10,8,59264.6141362248,23506.7996341292,-5.63899139293426,18
HD209458_esp19_2.rdb,HD209458_esp19_2_linear_corrected.csv,edge_points,,,10,8,58696.8086861102,-14840.9460429984,126.899141887288,13
WASP122_esp19_2.rdb,WASP122_esp19_2_linear_corrected.csv,edge_points,,,15,15,59257.676411919994,34478.37943405325,-671.8177863474849,30
WASP122_esp19_2.rdb,WASP122_esp19_2_linear_corrected.csv,edge_points,,,15,15,59257.676411919994,34478.37943405325,-671.8177863474849,30
