rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
54301.591515860055,-2210.037675,39.75,7485.92078,-11.718066,56.969545,488.144479,0.311546,0.172769,0.437878,-4.574917
54301.59534381982,-2205.451803,37.77,7476.073868,-11.558029,56.985619,490.001693,0.312612,0.173589,0.439657,-4.572905
54301.59917569999,-2196.488584,35.79,7476.297893,-13.780371,56.998368,486.948295,0.312704,0.173812,0.436732,-4.576218
54301.60300447978,-2196.04581,33.81,7480.167704,-15.905822,56.96933,484.709238,0.312575,0.174334,0.434587,-4.578664
54301.60684619984,-2199.83821,31.82,7494.851618,-22.41594,56.872022,487.596632,0.313291,0.174821,0.437353,-4.575512
54301.610675999895,-2207.239738,29.84,7498.337278,-19.473665,56.815928,484.142854,0.31457,0.17443,0.434045,-4.579285
54301.6145067201,-2215.999978,27.86,7498.780819,-18.285201,56.778249,490.610114,0.31196,0.174866,0.44024,-4.572247
54301.61833677022,-2226.52835,25.88,7509.891959,-15.291277,56.737995,482.670682,0.312976,0.175749,0.432635,-4.580902
54301.62216369016,-2236.32051,23.91,7507.092115,-9.955309,56.74645,483.010219,0.313069,0.174666,0.43296,-4.580529
54301.62599474983,-2248.606159,21.93,7513.982065,-11.686187,56.684238,488.471644,0.311622,0.173886,0.438191,-4.574562
54301.62982606981,-2248.633793,19.95,7531.077126,-6.662762,56.571163,489.342208,0.310815,0.17592,0.439025,-4.573618
54301.63366512023,-2269.17198,17.96,7495.186371,-8.037753,56.827249,486.406127,0.313585,0.175485,0.436213,-4.576809
54301.63749653986,-2276.765875,15.98,7488.240948,-2.374419,56.886077,482.917609,0.314904,0.175825,0.432871,-4.580631
54301.64132601023,-2284.011433,14.0,7477.720066,-6.039381,56.969249,482.095402,0.313889,0.174856,0.432084,-4.581536
54301.64515674021,-2287.830376,12.02,7471.437418,-6.921675,57.031734,480.713994,0.311868,0.175479,0.430761,-4.583062
54301.64898690023,-2283.627305,10.04,7465.329767,-9.090571,57.071123,482.553033,0.315526,0.174861,0.432522,-4.581032
54301.65282143978,-2275.427492,8.06,7466.259159,-13.127445,57.061102,478.925805,0.315293,0.174969,0.429048,-4.585046
54301.65665053995,-2264.412735,6.08,7476.942661,-13.620131,56.994479,482.748762,0.316666,0.175997,0.43271,-4.580816
54301.66047943011,-2261.946213,4.1,7482.373891,-12.110823,56.938849,486.498144,0.314932,0.175621,0.436301,-4.576708
54301.6643095701,-2264.094229,2.12,7479.293459,-10.415342,56.96082,488.202867,0.316493,0.177415,0.437934,-4.574853
54301.6681382102,-2265.504123,0.14,7482.377117,-11.077538,56.929592,487.944094,0.317572,0.176181,0.437686,-4.575135
54301.67196964007,-2269.226592,-1.84,7484.228633,-12.927097,56.937976,487.381755,0.317636,0.175828,0.437147,-4.575746
54301.67580070999,-2269.372066,-3.82,7477.823216,-13.201068,56.961577,490.19492,0.318236,0.1762,0.439842,-4.572696
54301.689629890025,-2276.428929,-10.97,7482.947388,-11.031827,56.948998,490.013982,0.322441,0.177119,0.439669,-4.572891
54301.69345714012,-2279.384378,-12.95,7476.727676,-13.132846,56.96369,490.374463,0.32166,0.177754,0.440014,-4.572502
54301.69728705008,-2280.28166,-14.93,7477.981291,-10.905624,56.958991,490.520969,0.319077,0.176872,0.440154,-4.572344
54301.7011165102,-2283.394651,-16.91,7481.78854,-12.117762,56.947993,486.958025,0.319111,0.176663,0.436741,-4.576207
54301.70495672012,-2285.455428,-18.89,7479.98742,-11.098579,56.936357,490.256297,0.318869,0.176933,0.439901,-4.572629
54301.70878745988,-2288.168318,-20.87,7480.536349,-10.973486,56.946584,492.839598,0.318153,0.17664,0.442375,-4.569848
54301.71262780018,-2290.863626,-22.86,7477.518666,-7.552182,56.950707,488.065822,0.319804,0.177403,0.437803,-4.575002
54301.716455730144,-2292.178148,-24.83,7482.294992,-11.213567,56.948844,488.737027,0.32001,0.176677,0.438445,-4.574274
54301.72028842988,-2294.722456,-26.82,7485.689325,-10.218751,56.916511,488.792872,0.318534,0.176733,0.438499,-4.574213
54301.72411927022,-2296.067847,-28.8,7487.867697,-13.230837,56.921139,491.479229,0.319778,0.176263,0.441072,-4.57131
54301.72794640996,-2296.808773,-30.77,7480.346001,-11.518097,56.939345,491.826573,0.318923,0.176341,0.441405,-4.570936
54301.73177679023,-2299.556771,-32.75,7476.219271,-11.530652,56.965229,492.576342,0.319156,0.177348,0.442123,-4.57013
54301.73560740007,-2303.247098,-34.73,7478.602074,-13.90802,56.946984,489.42057,0.319026,0.177144,0.4391,-4.573533
54301.73943952005,-2303.370158,-36.71,7476.324337,-12.000369,56.958125,489.302832,0.319473,0.17609,0.438987,-4.573661
54301.74326943001,-2306.332927,-38.69,7477.444479,-11.810871,56.940762,485.995817,0.320485,0.177036,0.43582,-4.577257
54301.74710154999,-2308.600474,-40.68,7474.733414,-12.025893,56.938361,491.209279,0.320809,0.176548,0.440813,-4.571601
