rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
58684.66090316,-14786.606346,-0.48,8865.890726,-15.345821,48.481687,165.628554,0.193292,0.380369,0.128955,-4.860897
58684.66374159977,-14786.608434,-0.07,8865.550424,-15.481742,48.467127,165.90879,0.193885,0.380503,0.129223,-4.859352
58684.66629731003,-14784.767327,2.14,8866.158899,-17.312487,48.446684,166.371301,0.192199,0.381173,0.129666,-4.856815
58684.66900051991,-14787.115682,0.18,8868.729355,-18.123339,48.436954,166.476345,0.192911,0.380903,0.129767,-4.85624
58684.67177721998,-14788.36594,-0.67,8864.63616,-16.610756,48.447649,167.045771,0.192264,0.380582,0.130312,-4.85314
58684.67447164003,-14787.742113,0.34,8870.716426,-14.50149,48.425959,166.595278,0.192964,0.3807,0.129881,-4.855591
58684.67720161006,-14788.555293,-0.08,8865.442357,-16.770353,48.436943,167.222331,0.192803,0.381226,0.130481,-4.852184
58684.679924060125,-14789.300023,-0.43,8871.944301,-17.865877,48.428976,167.30989,0.193205,0.380193,0.130565,-4.85171
58684.68259087019,-14789.571708,-0.32,8869.469101,-15.011826,48.420498,166.842472,0.193456,0.380715,0.130117,-4.854245
58684.68536972022,-14788.225539,1.43,8865.767824,-16.41066,48.444025,167.045527,0.193245,0.38048,0.130312,-4.853142
58684.68810543977,-14792.239528,-2.19,8869.714771,-17.436762,48.431048,166.828619,0.192197,0.380959,0.130104,-4.85432
58684.69083179999,-14787.68941,2.75,8862.161797,-17.059371,48.447791,167.40654,0.192981,0.380544,0.130658,-4.851188
58684.69358211011,-14791.517576,-0.68,8867.463426,-16.759145,48.436124,166.839169,0.193315,0.380527,0.130114,-4.854263
58684.69630473992,-14790.796888,0.43,8866.168884,-16.607337,48.423491,167.672949,0.193018,0.380508,0.130913,-4.849752
58684.69903624989,-14792.237353,-0.61,8866.051942,-16.710359,48.449452,167.184649,0.193394,0.380687,0.130445,-4.852388
58684.70179915987,-14789.405011,2.62,8862.485774,-16.047855,48.460981,167.025365,0.193038,0.380958,0.130292,-4.853251
58684.70452236012,-14781.299708,11.12,8858.906407,-18.490557,48.46742,167.435931,0.193116,0.380738,0.130686,-4.851029
58684.70720634982,-14777.20541,15.6,8853.890568,-13.863628,48.497379,167.442098,0.193041,0.380596,0.130692,-4.850996
58684.70999071002,-14771.555289,21.65,8849.468352,-13.90551,48.532653,167.055025,0.193498,0.380502,0.130321,-4.85309
58684.71272539021,-14763.916974,29.68,8844.639692,-13.261525,48.549291,167.342994,0.192778,0.380558,0.130597,-4.851531
58684.71543662995,-14757.999355,35.99,8844.429642,-14.359579,48.55012,166.809424,0.192718,0.380501,0.130086,-4.854424
58684.71817639982,-14756.713623,37.67,8841.731771,-15.828982,48.562947,167.38002,0.192928,0.380678,0.130632,-4.851331
58684.72090589022,-14755.960136,38.82,8840.125124,-16.541289,48.546976,166.720937,0.193791,0.380504,0.130001,-4.854906
58684.72361538978,-14755.214536,39.96,8846.720709,-17.214126,48.526236,167.770152,0.193585,0.380307,0.131006,-4.849229
58684.72633686988,-14757.579817,37.98,8847.811825,-21.094294,48.515352,167.120311,0.19341,0.380842,0.130383,-4.852736
58684.729057730176,-14758.134057,37.82,8854.972044,-24.338189,48.489529,167.940104,0.193287,0.380283,0.131169,-4.848316
58684.73183760978,-14761.152035,35.2,8858.777306,-25.282948,48.466963,167.682461,0.193716,0.380416,0.130922,-4.8497
58684.73457340989,-14760.439587,36.31,8867.734888,-25.164732,48.431965,167.661459,0.193456,0.380705,0.130902,-4.849813
58684.73728214996,-14765.314139,31.83,8870.776698,-26.253346,48.411567,167.778418,0.193556,0.381076,0.131014,-4.849184
58684.74003608991,-14768.38884,29.15,8878.005606,-26.820285,48.382282,167.856133,0.193209,0.381143,0.131088,-4.848767
58684.7427873998,-14770.5009,27.44,8886.432535,-27.462767,48.358456,167.824604,0.193299,0.381118,0.131058,-4.848936
58684.74553437019,-14776.046514,22.29,8886.339044,-26.212514,48.356544,168.06403,0.193603,0.381061,0.131287,-4.847652
58684.74827987002,-14778.46264,20.27,8892.236021,-24.776817,48.319653,168.448923,0.193565,0.381771,0.131656,-4.845595
58684.75101392996,-14783.161248,15.96,8891.350676,-26.572211,48.318112,168.264717,0.193619,0.381287,0.13148,-4.846578
58684.75374874007,-14786.52462,12.99,8898.540636,-23.002081,48.29488,168.372951,0.193311,0.381288,0.131583,-4.846
