rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
56057.506780169904,-3230.57083,16.24,8670.348858,24.560959,47.319873,121.798419,0.182801,0.410856,0.086972,
56057.51390091004,-3226.695088,15.36,8705.319627,9.113412,47.105869,121.043018,0.185835,0.414235,0.086248,
56057.52176709985,-3229.096193,14.38,8682.498427,19.252093,47.198671,124.709764,0.190903,0.408747,0.08976,
56057.52957397979,-3232.157334,13.41,8668.566688,12.460494,47.281287,124.743885,0.186341,0.410751,0.089793,
56057.536638360005,-3227.17707,12.54,8664.586288,12.226802,47.240085,127.672396,0.192574,0.404717,0.092598,
56057.54336920008,-3209.25598,11.7,8677.711421,31.525794,47.301518,121.39261,0.193671,0.409368,0.086583,
56057.549853669945,-3225.690351,10.9,8668.389686,21.974146,47.320097,128.082377,0.191492,0.412357,0.092991,
56057.55649245996,-3220.111586,10.08,8663.272943,20.886679,47.287128,134.535103,0.187856,0.409994,0.099172,
56057.56309032021,-3222.747013,9.26,8679.268509,21.376459,47.266425,131.507105,0.195604,0.408059,0.096271,
56057.56963011995,-3223.800874,8.45,8682.54486,12.369223,47.235376,127.728098,0.190931,0.408034,0.092651,
56057.57658672007,-3233.116971,7.58,8674.097281,1.466168,47.302185,137.491117,0.191364,0.406114,0.102003,
56057.583112020046,-3225.236334,6.77,8665.976978,27.614634,47.253115,123.86176,0.191325,0.410626,0.088948,
56057.58984235022,-3232.280012,5.94,8677.524887,24.513216,47.188732,125.11983,0.194292,0.410677,0.090153,
56057.59634508006,-3232.990149,5.13,8699.371897,19.63824,47.141101,116.597128,0.187169,0.409074,0.08199,
56057.60304090008,-3235.774387,4.3,8683.434519,22.554821,47.165919,140.059176,0.192431,0.410864,0.104463,
56057.6095206202,-3239.937584,3.5,8686.2229,16.038258,47.21967,126.23771,0.190065,0.404013,0.091224,
56057.616301610135,-3236.354001,2.66,8657.788264,12.066933,47.203723,118.729428,0.194899,0.410351,0.084032,
56057.623761089984,-3248.531136,1.73,8675.118444,23.341191,47.208899,136.30827,0.19189,0.411866,0.10087,
56057.633382860105,-3247.607485,0.54,8681.147938,24.92196,47.118697,135.671209,0.192266,0.405806,0.10026,
56057.64115851978,-3258.701338,-0.43,8699.430642,27.545609,47.210761,130.981743,0.191785,0.404337,0.095768,
56057.64854326006,-3260.303191,-1.34,8705.175775,18.960995,47.114814,123.329302,0.192182,0.412122,0.088438,
56057.65540236002,-3258.52153,-2.19,8697.369168,31.937235,47.146504,134.064176,0.189029,0.405578,0.09872,
56057.66294769989,-3268.012074,-3.13,8656.099096,23.387768,47.213812,129.170568,0.195246,0.406936,0.094033,
56057.67051804997,-3264.281811,-4.07,8691.615758,27.07013,47.2267,140.478506,0.19327,0.407615,0.104864,
56057.67829883983,-3267.528266,-5.03,8659.151817,29.533301,47.292728,128.945754,0.194509,0.405157,0.093818,
56057.6853583199,-3260.096701,-5.91,8675.20833,30.18635,47.258645,136.95589,0.19026,0.410493,0.10149,
56057.69254626008,-3265.510211,-6.8,8685.012138,4.032263,47.281619,141.884343,0.187769,0.408554,0.106211,
56057.69956569001,-3262.443242,-7.67,8677.608287,14.95822,47.269541,133.802478,0.190957,0.407781,0.09847,
56057.70676974021,-3258.413469,-8.56,8682.761394,26.675284,47.209966,123.035849,0.192977,0.409509,0.088157,
56057.71382605983,-3258.793378,-9.44,8674.73285,31.368071,47.20533,128.004439,0.194182,0.411714,0.092916,
56057.720848150086,-3256.520363,-10.31,8690.840202,27.67457,47.181132,134.109689,0.190157,0.408717,0.098764,
56057.72810227005,-3251.11181,-11.21,8665.999086,11.254587,47.265711,135.106937,0.198015,0.407805,0.099719,
56057.734862329904,-3253.347747,-12.05,8664.441096,18.643411,47.24111,127.794426,0.190233,0.409511,0.092715,
56057.74122959003,-3256.859321,-12.84,8692.832734,17.41693,47.272743,112.439457,0.192975,0.411242,0.078007,
56057.74783576978,-3261.173903,-13.66,8675.145302,8.91636,47.150486,118.871229,0.192861,0.410272,0.084168,
56057.75444051018,-3256.47467,-14.48,8689.756301,21.078514,47.084981,136.006523,0.190526,0.412331,0.100581,
56057.76089172019,-3259.677306,-15.28,8690.741411,16.982323,47.151785,116.312306,0.187796,0.412975,0.081717,
56057.76745626005,-3262.106952,-16.09,8691.621983,14.694254,47.215809,133.28312,0.19288,0.408395,0.097972,
