observation_file,corrected_file,fit_method,rms_threshold,max_iterations,n_first,n_last,rjd_ref,intercept,slope,n_fit_points
HD189733_esp19_3.rdb,HD189733_esp19_3_linear_corrected.csv,rms_clip,1.5,5,,,59437.57574,-2196.078916,-577.5117515,19
HD189733_esp19_4.rdb,HD189733_esp19_4_linear_corrected.csv,rms_clip,1.5,5,,,59457.63618,-2255.877911,-559.2504924,18
HD209458_esp19_1.rdb,HD209458_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,58684.84133,-14812.19246,-143.8827318,39
HD209458_esp19_4.rdb,HD209458_esp19_4_linear_corrected.csv,rms_clip,1.5,5,,,58737.70548,-14809.12456,-153.3596593,40
K2139_esp19_1.rdb,K2139_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,60135.74144,-31338.00118,-3.509368882,27
WASP20_esp19_1.rdb,WASP20_esp19_1_linear_corrected.csv,rms_clip,1.5,3,,,59522.60963,1268.789009,-60.43164854,34
WASP31_esp19_1.rdb,WASP31_esp19_1_linear_corrected.csv,rms_clip,1.5,3,,,59606.79171,-276.9374122,-141.1858464,19
WASP31_esp19_3.rdb,WASP31_esp19_3_linear_corrected.csv,rms_clip,1.5,5,,,60001.80093,-267.9616641,-108.968103,12
WASP50_esp19_1.rdb,WASP50_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,59816.85686,25405.20369,-805.4131553,26
WASP54_esp19_1.rdb,WASP54_esp19_1_linear_corrected.csv,rms_clip,1.5,5,,,59311.80006,-3251.345068,-117.8732258,33
WASP54_esp19_2.rdb,WASP54_esp19_2_linear_corrected.csv,rms_clip,1.5,5,,,59348.71295,-3246.941658,-120.6938784,36
WASP62_esp19_1.rdb,WASP62_esp19_1_linear_corrected.csv,edge_points,,,6,4,59574.57249,14823.67931,-90.93319461,10
WASP62_esp19_2.rdb,WASP62_esp19_2_linear_corrected.csv,edge_points,,,10,4,59596.60346,14854.2795,-133.0248099,14
WASP106_esp19_1.rdb,WASP106_esp19_1_linear_corrected.csv,edge_points,,,4,5,60021.82328,17126.56253,-103.4285473,9
WASP118_esp19_1.rdb,WASP118_esp19_1_linear_corrected.csv,edge_points,,,4,10,59498.81481,5662.545042,-109.7255505,14
WASP121_esp18_1.rdb,WASP121_esp18_1_linear_corrected.csv,edge_points,,,3,3,58490.73846,38158.00802,-675.668831,6
WASP126_esp19_1.rdb,WASP126_esp19_1_linear_corrected.csv,edge_points,,,10,10,58807.68401,29194.34744,-42.93718472,20
WASP130_esp19_1.rdb,WASP130_esp19_1_linear_corrected.csv,edge_points,,,10,8,59739.50149,1331.091503,-52.01961399,18
WASP131_esp19_1.rdb,WASP131_esp19_1_linear_corrected.csv,edge_points,,,10,8,59282.68071,-19716.32813,-30.67568413,18
WASP131_esp19_2.rdb,WASP131_esp19_2_linear_corrected.csv,edge_points,,,10,8,59298.6178,-19715.47962,-39.44632218,18
WASP166_esp19_1.rdb,WASP166_esp19_1_linear_corrected.csv,edge_points,,,10,8,59215.6324,23495.32685,-2.79095771,18
HD189733_harps03_3.rdb,HD189733_harps03_3_linear_corrected.csv,edge_points,,,3,3,53986.59485176997,-2251.7124764955825,-571.9782317076321,6
HD189733_harps03_4.rdb,HD189733_harps03_4_linear_corrected.csv,edge_points,,,0,10,54301.72986160009,-2299.1688537572636,-516.9056490354467,10
HD189733_harps03_5.rdb,HD189733_harps03_5_linear_corrected.csv,edge_points,,,7,10,54341.61182234995,-2259.944141906589,-575.7860084737175,17
WASP54_harps03_1.rdb,WASP54_harps03_1_linear_corrected.csv,edge_points,,,4,6,56057.738045959966,-3256.5898447887143,-124.03195723909509,10
