rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59311.57416717988,-3223.824423,18.25,8571.86567,26.378555,47.219168,153.620357,0.189598,0.402074,0.117452,-4.951557
59311.57845526002,-3224.732746,17.75,8573.598302,26.507192,47.170925,152.190523,0.192446,0.401372,0.116083,-4.960934
59311.582574769855,-3228.091165,17.26,8574.533441,24.843929,47.18411,152.362604,0.190978,0.403865,0.116248,-4.959794
59311.58684417,-3225.676066,16.76,8565.258344,24.886842,47.192687,152.751918,0.192033,0.399143,0.116621,-4.957228
59311.59094019001,-3225.529541,16.27,8569.323936,22.59126,47.17865,150.960987,0.188938,0.403488,0.114905,-4.969162
59311.59525573999,-3221.528585,15.76,8558.538415,23.405926,47.197708,150.651872,0.190829,0.404564,0.114609,-4.971255
59311.59940415993,-3219.60129,15.28,8563.763628,35.109978,47.230722,150.04303,0.190626,0.403248,0.114026,-4.975408
59311.60352591006,-3211.951041,14.79,8569.889205,22.557713,47.219544,150.4891,0.191849,0.403215,0.114453,-4.972362
59311.607749439776,-3215.439515,14.29,8569.182314,25.219015,47.184931,152.61856,0.191122,0.404234,0.116493,-4.958105
59311.61191819003,-3211.409122,13.8,8572.053037,26.825002,47.181887,152.064442,0.190631,0.402984,0.115962,-4.96177
59311.616067740135,-3210.996274,13.31,8568.262301,23.025861,47.22444,151.564401,0.19308,0.402814,0.115483,-4.965104
59311.62026556023,-3215.042759,12.82,8566.141166,31.117505,47.198062,152.891864,0.189621,0.408561,0.116755,-4.956309
59311.62434794009,-3216.687871,12.34,8551.659154,27.49749,47.229405,153.477871,0.192397,0.41015,0.117316,-4.952482
59311.62871841015,-3213.295449,11.82,8578.186276,30.935622,47.166835,153.256773,0.1915,0.409606,0.117104,-4.953922
59311.63282178016,-3218.958901,11.34,8578.206222,19.700832,47.162683,152.972897,0.192594,0.409196,0.116832,-4.955778
59311.63701727986,-3218.076798,10.84,8567.430329,20.162503,47.209534,152.099272,0.191836,0.408773,0.115995,-4.961539
59311.641200620215,-3224.794778,10.35,8579.795589,20.392257,47.159933,152.939649,0.191497,0.409591,0.1168,-4.955996
59311.6453466001,-3219.886352,9.86,8581.684556,24.217245,47.133217,154.204728,0.190396,0.410198,0.118012,-4.947782
59311.64968216,-3222.911923,9.35,8574.46977,17.308648,47.170905,151.845475,0.190989,0.408696,0.115752,-4.963227
59311.65373635013,-3226.917426,8.87,8585.140863,19.448474,47.125617,153.341089,0.193216,0.407826,0.117185,-4.953372
59311.65793377021,-3225.280201,8.38,8579.007701,23.463063,47.152118,153.810231,0.192378,0.401429,0.117634,-4.950327
59311.66207516007,-3229.566539,7.89,8588.03003,14.564874,47.114578,154.728695,0.190797,0.405737,0.118514,-4.944425
59311.66627806984,-3230.380617,7.39,8592.043988,19.742657,47.088437,154.218863,0.189849,0.4062,0.118026,-4.947691
59311.67035896005,-3234.107905,6.91,8583.622532,25.363214,47.141233,153.293973,0.191835,0.404269,0.11714,-4.95368
59311.674731330015,-3234.895927,6.4,8587.407456,26.935108,47.147341,153.539658,0.19227,0.404844,0.117375,-4.952081
59311.678821249865,-3239.095681,5.91,8585.49418,21.746223,47.125634,153.365739,0.191189,0.405129,0.117209,-4.953212
59311.68306219019,-3238.716683,5.41,8592.565479,25.140071,47.109513,153.39705,0.192998,0.403339,0.117239,-4.953008
59311.68719048984,-3241.108493,4.93,8586.355068,21.32121,47.110548,154.376314,0.191529,0.402686,0.118177,-4.94668
59311.69137499016,-3241.007237,4.43,8590.031462,26.739104,47.109238,154.242918,0.192106,0.403675,0.118049,-4.947537
59311.69555689022,-3243.342972,3.94,8585.016159,27.000006,47.111922,153.741914,0.191573,0.404243,0.117569,-4.950769
59311.699773199856,-3247.857821,3.45,8582.427133,23.636885,47.110818,153.10577,0.192671,0.403013,0.11696,-4.954908
59311.70388182998,-3246.494327,2.96,8588.417454,30.559859,47.109367,154.610672,0.192239,0.403191,0.118401,-4.945179
59311.70809450978,-3249.099846,2.46,8576.886112,31.562977,47.126649,155.410683,0.191467,0.402154,0.119167,-4.940095
59311.712202129886,-3251.93546,1.98,8577.548951,27.201287,47.180868,153.645802,0.192992,0.403304,0.117477,-4.951392
59311.71650396008,-3257.41615,1.47,8583.616797,28.055011,47.158835,151.160745,0.192972,0.405812,0.115096,-4.967815
59311.72066503018,-3253.63738,0.98,8580.652842,26.735878,47.196303,154.023483,0.192097,0.404368,0.117839,-4.948949
59311.72484873002,-3257.232294,0.49,8565.339596,24.678879,47.198905,153.135288,0.192451,0.405442,0.116988,-4.954715
59311.72905582981,-3253.658763,-0.01,8574.661237,22.494043,47.191738,152.574816,0.192574,0.404447,0.116451,-4.958394
59311.73313747998,-3259.487197,-0.49,8569.996712,30.642214,47.197832,153.438234,0.192629,0.402932,0.117278,-4.95274
59311.737409700174,-3256.355262,-0.99,8564.442516,25.39986,47.223655,152.365136,0.19437,0.402702,0.11625,-4.959778
59311.7415512898,-3259.157186,-1.48,8566.796969,26.997481,47.227739,152.628477,0.191567,0.403267,0.116502,-4.95804
59311.74574240996,-3258.664981,-1.97,8562.299439,17.83101,47.228067,153.167635,0.192416,0.403511,0.117019,-4.954504
59311.74991468992,-3255.91747,-2.47,8563.219509,17.786142,47.199158,155.12735,0.193008,0.404931,0.118896,-4.941889
59311.75414843019,-3254.985848,-2.96,8564.597961,17.468069,47.219114,151.564985,0.191982,0.405414,0.115484,-4.9651
59311.758296700194,-3254.846604,-3.45,8567.351527,22.055681,47.179971,153.804474,0.193472,0.403392,0.117629,-4.950364
59311.76249575988,-3250.721938,-3.95,8575.916653,23.121128,47.159968,152.119102,0.191603,0.404436,0.116014,-4.961407
59311.76665727981,-3248.518157,-4.44,8573.490971,24.58004,47.173258,152.681964,0.191941,0.404901,0.116554,-4.957688
59311.770841820166,-3248.043222,-4.93,8578.444588,27.720993,47.177135,153.784862,0.192096,0.403821,0.11761,-4.950491
59311.77502368018,-3249.892125,-5.42,8574.98644,24.526357,47.175641,153.011141,0.191664,0.404313,0.116869,-4.955527
59311.77918109018,-3247.429857,-5.92,8571.743919,21.977285,47.193359,152.403053,0.193543,0.404396,0.116286,-4.959527
59311.783451839816,-3248.8463,-6.42,8587.540708,22.091951,47.183313,153.269899,0.192049,0.405564,0.117117,-4.953837
59311.78753485996,-3252.589846,-6.9,8577.66056,26.139174,47.162308,151.046231,0.193498,0.404721,0.114987,-4.968586
59311.79166983999,-3247.463884,-7.39,8579.074087,26.671666,47.18843,154.166692,0.19447,0.403041,0.117976,-4.948027
59311.796011330094,-3254.725457,-7.9,8580.759406,25.882742,47.168555,152.592013,0.19345,0.404461,0.116467,-4.95828
59311.80006243987,-3252.418223,-8.38,8564.377041,25.516433,47.188097,154.535365,0.19298,0.403759,0.118329,-4.945661
59311.80423561996,-3253.937385,-8.87,8585.832143,25.814367,47.123776,153.917628,0.190816,0.404385,0.117737,-4.949633
59311.80847335979,-3250.576066,-9.37,8582.003975,25.8302,47.156097,153.188489,0.192847,0.402815,0.117039,-4.954368
59311.812612710055,-3252.572756,-9.86,8573.929345,25.397711,47.176124,152.36799,0.19335,0.403308,0.116253,-4.959759
59311.81685210997,-3254.627776,-10.36,8571.236219,23.833728,47.145155,154.147473,0.193385,0.4041,0.117957,-4.948151
59311.82096906984,-3253.344277,-10.84,8579.520427,22.790828,47.14449,152.982447,0.193137,0.403511,0.116841,-4.955715
59311.82509336015,-3253.765881,-11.33,8570.040321,18.69845,47.186229,151.914813,0.192756,0.406877,0.115819,-4.962765
59311.829443459865,-3252.591319,-11.84,8569.883841,21.829507,47.207625,152.62187,0.193012,0.407603,0.116496,-4.958084
59311.83347429009,-3250.825855,-12.31,8579.949794,29.220955,47.171402,148.74316,0.192322,0.406406,0.112781,-4.98441
59311.83778367983,-3254.989695,-12.82,8567.314989,24.388509,47.23045,151.571331,0.191976,0.406263,0.11549,-4.965058
59311.84182518022,-3253.754746,-13.3,8567.793725,25.619061,47.190575,152.068709,0.191482,0.40645,0.115966,-4.961742
59311.84605795983,-3254.964231,-13.8,8580.1389,17.867513,47.1748,153.341528,0.192142,0.402638,0.117185,-4.95337
59311.85014687991,-3257.912022,-14.28,8569.501755,25.230414,47.152942,154.198365,0.193059,0.403217,0.118006,-4.947823
59311.85453636991,-3258.47763,-14.8,8564.569969,26.059111,47.198334,151.214879,0.194306,0.40804,0.115148,-4.96745
59311.85864338977,-3257.547056,-15.28,8567.346867,23.822982,47.160391,154.368174,0.191393,0.403384,0.118169,-4.946732
59311.86266628001,-3260.889662,-15.76,8575.981824,24.524009,47.176418,151.720787,0.193747,0.404209,0.115633,-4.964059
59311.86696281983,-3252.017926,-16.26,8578.720384,32.32777,47.178978,149.907626,0.191623,0.403403,0.113896,-4.976337
59311.871203249786,-3259.559175,-16.76,8569.746301,23.410817,47.18168,150.649693,0.192276,0.404368,0.114607,-4.97127
59311.87523184996,-3259.919698,-17.24,8569.861233,20.744512,47.168159,153.318852,0.191505,0.404282,0.117164,-4.953517
59311.87940758979,-3256.858419,-17.73,8580.859957,28.753344,47.167521,154.957957,0.192989,0.407244,0.118734,-4.942965
59311.883779190015,-3257.603419,-18.24,8571.379389,17.547353,47.18541,150.226778,0.190864,0.40709,0.114202,-4.974151
