rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
60135.54324059002,-31338.766939,-2.55,7263.473084,-25.617252,61.190992,391.510423,0.287289,0.19823,0.345316,-4.496192
60135.54889834998,-31335.896873,-2.51,7263.08118,-32.704594,61.14302,384.175165,0.278462,0.196471,0.33829,-4.506737
60135.55466875993,-31343.657911,-2.48,7270.867877,-38.122918,60.946776,383.420104,0.280941,0.195702,0.337567,-4.507837
60135.56081204023,-31332.207655,-2.44,7277.738035,-23.467984,61.140262,400.463266,0.284392,0.197802,0.353892,-4.483659
60135.566621670034,-31338.623985,-2.4,7280.459118,-33.799995,61.140779,390.532871,0.277364,0.199935,0.34438,-4.497582
60135.572416299954,-31338.159484,-2.37,7278.590882,-43.661275,61.16406,378.91916,0.278661,0.198344,0.333256,-4.514453
60135.57807020005,-31338.331805,-2.33,7269.022661,-26.05061,61.255353,389.857975,0.27941,0.200324,0.343734,-4.498545
60135.58389511984,-31335.832978,-2.3,7269.628637,-32.35379,61.15693,397.331807,0.281201,0.198354,0.350893,-4.488001
60135.589752499945,-31335.296094,-2.26,7261.685833,-28.016178,61.21808,414.092119,0.282405,0.196752,0.366946,-4.465248
60135.59555394994,-31340.165673,-2.22,7277.983113,-30.096031,61.15846,397.301016,0.282185,0.19756,0.350863,-4.488044
60135.60128756985,-31338.590873,-2.19,7269.486709,-31.093125,61.212784,399.938171,0.279335,0.200191,0.353389,-4.484384
60135.60719307,-31337.556217,-2.15,7277.771958,-36.691021,61.110511,384.027614,0.282492,0.20212,0.338149,-4.506952
60135.61301189987,-31334.684853,-2.12,7268.074776,-40.44822,61.1397,404.075947,0.281274,0.199272,0.357352,-4.478702
60135.61888216995,-31332.208208,-2.08,7274.592688,-28.752686,61.124403,411.028038,0.278034,0.197436,0.364012,-4.46932
60135.6247232398,-31326.396658,-2.04,7285.028974,-30.90244,61.155359,399.023048,0.280393,0.198257,0.352512,-4.485651
60135.6302912198,-31323.063262,-2.01,7266.423372,-23.734622,61.216688,406.914295,0.280772,0.199495,0.360071,-4.474847
60135.636486880016,-31319.501213,-1.97,7261.30888,-22.624132,61.269295,394.30719,0.282883,0.199072,0.347995,-4.492238
60135.64233200019,-31326.442509,-1.93,7264.286907,-30.061308,61.168949,385.932206,0.281604,0.197381,0.339973,-4.504187
60135.64812951023,-31320.861525,-1.9,7267.445379,-29.678451,61.226271,411.826733,0.282976,0.200244,0.364777,-4.468255
60135.65411046008,-31319.817227,-1.86,7272.376347,-27.932409,61.208347,415.685326,0.285405,0.198976,0.368473,-4.463146
60135.65979560977,-31319.168081,-1.83,7263.584025,-29.917234,61.205825,412.425405,0.281144,0.199796,0.36535,-4.467458
60135.665387410205,-31319.356204,-1.79,7273.69276,-27.4894,61.145917,414.323793,0.28216,0.198589,0.367168,-4.464942
60135.6713488102,-31324.08134,-1.75,7272.338891,-31.427815,61.150627,406.552179,0.280994,0.198327,0.359724,-4.475337
60135.676999640185,-31325.061993,-1.72,7269.929475,-35.629417,61.162562,407.555807,0.28033,0.198798,0.360686,-4.47398
