rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59596.56941861985,14858.748731,19.57,13206.952675,-37.998982,34.745026,209.539052,0.225289,0.384201,0.171014,-4.612497
59596.57438171003,14859.456031,18.91,13201.547555,-40.33314,34.733336,208.217428,0.223358,0.383682,0.169748,-4.617249
59596.57964091003,14858.890336,18.21,13202.345636,-36.798738,34.745537,209.15533,0.223442,0.383378,0.170647,-4.613871
59596.58491999004,14857.55842,17.5,13211.047049,-35.554732,34.749231,209.825959,0.224045,0.382778,0.171289,-4.611472
59596.59020846011,14853.667344,16.79,13208.943584,-38.534855,34.734782,209.609406,0.224169,0.384764,0.171082,-4.612245
59596.59551742021,14853.906824,16.08,13199.929731,-33.707669,34.73139,208.37842,0.224207,0.384944,0.169903,-4.616667
59596.60080293007,14854.67726,15.38,13216.954186,-34.033072,34.736198,208.520685,0.223516,0.384225,0.170039,-4.616154
59596.60611716984,14854.686634,14.67,13207.997102,-38.647232,34.73134,209.076098,0.225409,0.384389,0.170571,-4.614155
59596.61133323982,14853.878404,13.97,13210.546953,-35.111984,34.743579,208.572297,0.224492,0.383832,0.170088,-4.615968
59596.61663375003,14851.147032,13.26,13217.983729,-41.078189,34.724489,207.447088,0.224794,0.381587,0.169011,-4.620043
59596.62200513016,14854.547897,12.54,13207.494283,-40.299454,34.747472,208.671583,0.224314,0.384189,0.170184,-4.61561
59596.62723933999,14852.613779,11.84,13211.04591,-44.663747,34.708476,208.407946,0.224961,0.383222,0.169931,-4.616561
59596.63254727004,14852.923461,11.13,13212.995521,-34.040731,34.726123,207.903833,0.224581,0.382756,0.169448,-4.618384
59596.63778962009,14854.682559,10.43,13215.505988,-36.842969,34.741771,207.944879,0.224773,0.383619,0.169487,-4.618235
59596.64303934015,14866.268274,9.73,13194.113848,-35.572351,34.784941,208.024761,0.224392,0.382434,0.169564,-4.617946
59596.648450819775,14886.170617,9.01,13167.260065,-35.513299,34.832964,206.857142,0.223534,0.381829,0.168446,-4.622195
59596.6536199199,14910.802504,8.32,13109.857408,-39.98258,34.89628,207.919994,0.224287,0.382471,0.169464,-4.618326
59596.65904993983,14927.748296,7.59,13118.996639,-47.317112,34.864725,207.676958,0.22301,0.381277,0.169231,-4.619207
59596.664298629854,14923.694832,6.89,13141.736566,-71.188677,34.819024,207.488302,0.223518,0.380505,0.16905,-4.619893
59596.66967868013,14923.11871,6.17,13163.32446,-88.61322,34.777435,207.091879,0.223746,0.381099,0.16867,-4.621338
59596.67483623978,14923.605202,5.48,13196.111637,-94.52767,34.745919,208.59942,0.223331,0.379985,0.170114,-4.61587
59596.68017960014,14915.064468,4.76,13227.580596,-103.692936,34.688145,207.344458,0.223506,0.380066,0.168912,-4.620417
59596.68542191992,14908.031667,4.06,13253.480342,-103.684917,34.625112,208.026256,0.223547,0.379715,0.169565,-4.617941
59596.69075912982,14897.107785,3.35,13292.540048,-106.67335,34.5795,208.699371,0.22451,0.380086,0.17021,-4.61551
59596.69598928001,14887.167414,2.65,13311.274315,-95.089358,34.555429,208.470514,0.223411,0.378739,0.169991,-4.616335
59596.7013053,14867.304903,1.94,13349.126446,-79.864873,34.51297,208.30014,0.222874,0.379318,0.169828,-4.61695
59596.70659849001,14854.070906,1.23,13356.278965,-60.016753,34.500041,208.758119,0.223139,0.379578,0.170266,-4.615298
59596.71187624987,14837.446241,0.53,13366.944038,-35.939813,34.498929,208.884999,0.224015,0.379914,0.170388,-4.614842
59596.71716000978,14818.185607,-0.18,13362.781656,-12.54467,34.497878,208.9958,0.223822,0.379753,0.170494,-4.614444
59596.7224873798,14806.210561,-0.89,13350.492517,12.991184,34.517427,208.298839,0.22303,0.378931,0.169826,-4.616955
59596.727740710136,14791.45839,-1.59,13332.411755,20.280014,34.550204,208.657649,0.223938,0.378367,0.17017,-4.61566
59596.733072800096,14779.663599,-2.31,13302.303455,35.244436,34.585458,209.013601,0.224934,0.379305,0.170511,-4.61438
59596.73833998991,14770.531686,-3.01,13264.978676,42.826068,34.611325,210.333596,0.222773,0.378811,0.171775,-4.609664
59596.74362152023,14758.607077,-3.72,13219.222611,37.140554,34.685361,209.723533,0.223829,0.377676,0.171191,-4.611837
59596.74887199979,14754.993312,-4.42,13182.429598,27.138721,34.732779,207.966013,0.223903,0.377189,0.169508,-4.618159
59596.75418310985,14747.427185,-5.13,13145.500269,14.490058,34.803362,207.965973,0.223646,0.376432,0.169508,-4.618159
59596.75944447983,14746.133301,-5.83,13127.911465,-14.847802,34.851757,207.103402,0.223395,0.375549,0.168681,-4.621295
59596.76489032013,14750.474,-6.56,13102.084233,-32.466265,34.924413,207.332642,0.223136,0.376222,0.168901,-4.62046
59596.76992262993,14753.587805,-7.23,13094.220914,-47.740813,34.955632,208.801474,0.223944,0.375704,0.170308,-4.615142
59596.77523308992,14759.187026,-7.94,13085.914606,-71.286424,34.967379,207.473411,0.225054,0.375662,0.169036,-4.619947
59596.78052796982,14770.485584,-8.65,13098.086507,-73.64768,34.932699,205.202722,0.223454,0.375218,0.166861,-4.628288
59596.785937690176,14798.052754,-9.37,13152.814405,-66.651321,34.841063,206.924302,0.223354,0.373947,0.16851,-4.62195
59596.79122659983,14823.737704,-10.08,13200.668584,-58.715369,34.709441,207.040234,0.223261,0.373234,0.168621,-4.621526
59596.79802413005,14831.080162,-10.99,13219.258481,-49.110789,34.625242,207.565523,0.225352,0.373503,0.169124,-4.619612
59596.80493823998,14830.785137,-11.91,13227.685269,-38.091038,34.602179,206.375924,0.225581,0.372871,0.167985,-4.623958
59596.81312918011,14825.38319,-13.01,13223.713361,-46.116837,34.562681,203.57933,0.224488,0.372818,0.165306,-4.63435
