rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
58684.66090316,-14786.606346,17.3,17.24,0.907501,8865.890726,1.815002,-15.345821,1.815002,48.481687,0.009925,165.628554,0.15195,0.193292,6.2e-05,0.380369,5.4e-05,0.128955,0.000146,-4.860897,0.000839,17.877328,1,ESPRE.2019-07-20T03:43:35.361.fits
58684.66374159977,-14786.608434,16.89,16.83,0.814437,8865.550424,1.628874,-15.481742,1.628874,48.467127,0.008905,165.90879,0.125592,0.193885,5.3e-05,0.380503,4.6e-05,0.129223,0.00012,-4.859352,0.000691,17.871555,1,ESPRE.2019-07-20T03:47:30.174.fits
58684.66629731003,-14784.767327,16.53,16.46,0.628509,8866.158899,1.257017,-17.312487,1.257017,48.446684,0.006869,166.371301,0.080579,0.192199,3.6e-05,0.381173,3.1e-05,0.129666,7.7e-05,-4.856815,0.000441,17.866277,1,ESPRE.2019-07-20T03:51:25.183.fits
58684.66900051991,-14787.115682,16.14,16.07,0.606009,8868.729355,1.212018,-18.123339,1.212018,48.436954,0.006619,166.476345,0.07484,0.192911,3.4e-05,0.380903,3e-05,0.129767,7.2e-05,-4.85624,0.000409,17.860614,1,ESPRE.2019-07-20T03:55:22.253.fits
58684.67177721998,-14788.36594,15.74,15.67,0.619584,8864.63616,1.239167,-16.610756,1.239167,48.447649,0.006772,167.045771,0.078024,0.192264,3.6e-05,0.380582,3e-05,0.130312,7.5e-05,-4.85314,0.000423,17.854712,1,ESPRE.2019-07-20T03:59:17.203.fits
58684.67447164003,-14787.742113,15.35,15.29,0.556588,8870.716426,1.113177,-14.50149,1.113177,48.425959,0.006077,166.595278,0.064231,0.192964,3e-05,0.3807,2.6e-05,0.129881,6.2e-05,-4.855591,0.00035,17.848904,1,ESPRE.2019-07-20T04:03:11.667.fits
58684.67720161006,-14788.555293,14.96,14.89,0.518587,8865.442357,1.037175,-16.770353,1.037175,48.436943,0.005667,167.222331,0.056154,0.192803,2.8e-05,0.381226,2.3e-05,0.130481,5.4e-05,-4.852184,0.000304,17.842941,1,ESPRE.2019-07-20T04:07:06.375.fits
58684.679924060125,-14789.300023,14.57,14.5,0.518878,8871.944301,1.037755,-17.865877,1.037755,48.428976,0.005665,167.30989,0.055817,0.193205,2.8e-05,0.380193,2.3e-05,0.130565,5.3e-05,-4.85171,0.000302,17.836915,1,ESPRE.2019-07-20T04:11:00.686.fits
58684.68259087019,-14789.571708,14.18,14.12,0.493954,8869.469101,0.987908,-15.011826,0.987908,48.420498,0.005393,166.842472,0.050508,0.193456,2.6e-05,0.380715,2.2e-05,0.130117,4.8e-05,-4.854245,0.000275,17.830938,1,ESPRE.2019-07-20T04:14:55.376.fits
58684.68536972022,-14788.225539,13.78,13.72,0.519874,8865.767824,1.039748,-16.41066,1.039748,48.444025,0.005681,167.045527,0.054988,0.193245,2.8e-05,0.38048,2.4e-05,0.130312,5.3e-05,-4.853142,0.000298,17.824633,1,ESPRE.2019-07-20T04:18:52.401.fits
