rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59522.51940706,1279.304292,8.12,8.78,1.592991,9119.063302,3.185982,55.516863,3.185982,49.38031,0.017252,176.408254,0.318187,0.200835,0.000153,0.34859,0.000121,0.13928,0.000305,-4.833149,0.001538,-20.155012,1,ESPRE.2021-11-04T00:18:49.362.fits
59522.5235982202,1278.615426,7.87,8.52,1.525738,9108.632644,3.051477,57.837361,3.051477,49.417406,0.016555,178.809893,0.292744,0.200559,0.000145,0.348414,0.000114,0.14158,0.00028,-4.821694,0.001378,-20.165561,1,ESPRE.2021-11-04T00:24:51.496.fits
59522.52778491005,1270.538517,7.62,8.27,1.520972,9113.635056,3.041944,54.949227,3.041944,49.456302,0.016507,178.86614,0.290936,0.201858,0.000145,0.34684,0.000114,0.141634,0.000279,-4.821429,0.001369,-20.176215,1,ESPRE.2021-11-04T00:30:53.693.fits
59522.53196197981,1275.358789,7.36,8.02,1.538684,9113.727685,3.077369,54.40518,3.077369,49.426481,0.016689,178.026196,0.297569,0.201631,0.000146,0.347191,0.000115,0.14083,0.000285,-4.825399,0.001413,-20.186953,1,ESPRE.2021-11-04T00:36:53.377.fits
59522.53612633981,1276.397609,7.11,7.77,1.49835,9116.778277,2.996701,67.863385,2.996701,49.460562,0.016258,178.989669,0.28262,0.201614,0.000142,0.347516,0.000112,0.141753,0.000271,-4.820849,0.001328,-20.19776,1,ESPRE.2021-11-04T00:42:53.410.fits
59522.54032004997,1270.000108,6.86,7.51,1.552821,9105.644258,3.105641,55.684271,3.105641,49.422034,0.016856,179.821067,0.301682,0.203424,0.000149,0.347018,0.000117,0.142549,0.000289,-4.81696,0.001405,-20.208739,1,ESPRE.2021-11-04T00:48:53.438.fits
59522.54446244007,1270.375323,6.61,7.26,1.520974,9113.87909,3.041947,57.3022,3.041947,49.462285,0.016509,177.339744,0.289815,0.20185,0.000145,0.348181,0.000114,0.140172,0.000278,-4.82867,0.001386,-20.219671,1,ESPRE.2021-11-04T00:54:52.777.fits
59522.54862059979,1274.392626,6.36,7.01,1.484427,9107.284661,2.968853,60.951163,2.968853,49.486347,0.016132,178.585465,0.275417,0.20262,0.000141,0.349149,0.000111,0.141365,0.000264,-4.822752,0.0013,-20.230727,1,ESPRE.2021-11-04T01:00:52.347.fits
59522.55273339991,1275.487392,6.11,6.76,1.488865,9103.319779,2.97773,56.764678,2.97773,49.442041,0.016173,178.7948,0.275996,0.201343,0.000141,0.347617,0.000111,0.141566,0.000264,-4.821765,0.001299,-20.241736,1,ESPRE.2021-11-04T01:06:52.074.fits
59522.5569279301,1271.128654,5.85,6.51,1.47851,9108.705441,2.957019,59.08141,2.957019,49.447624,0.016053,175.603995,0.270841,0.202196,0.00014,0.348751,0.00011,0.13851,0.000259,-4.837054,0.001321,-20.253032,1,ESPRE.2021-11-04T01:12:54.209.fits
59522.56114307,1269.069946,5.6,6.25,1.485961,9105.416853,2.971922,54.742106,2.971922,49.488621,0.016153,177.934425,0.275409,0.201622,0.000141,0.34708,0.000111,0.140742,0.000264,-4.825835,0.001309,-20.264447,1,ESPRE.2021-11-04T01:18:53.508.fits
59522.565282360185,1269.660869,5.35,6.0,1.477189,9108.932624,2.954378,55.998424,2.954378,49.494592,0.016053,178.802185,0.272277,0.201638,0.00014,0.348406,0.00011,0.141573,0.000261,-4.82173,0.001282,-20.275711,1,ESPRE.2021-11-04T01:24:52.752.fits
59522.56948063988,1272.374095,5.1,5.75,1.501749,9103.074621,3.003498,55.033668,3.003498,49.481288,0.016326,178.368619,0.281099,0.200692,0.000143,0.34662,0.000112,0.141158,0.000269,-4.823776,0.00133,-20.287184,1,ESPRE.2021-11-04T01:30:54.880.fits
59522.57363427989,1269.757294,4.85,5.5,1.528205,9115.518937,3.05641,53.371994,3.05641,49.442509,0.016578,176.640161,0.28857,0.201731,0.000146,0.347009,0.000115,0.139502,0.000276,-4.83203,0.001391,-20.298576,1,ESPRE.2021-11-04T01:36:54.506.fits
59522.577800259925,1271.171084,4.59,5.25,1.509504,9118.751231,3.019009,54.578523,3.019009,49.450894,0.016372,179.498905,0.281039,0.201545,0.000144,0.34798,0.000113,0.14224,0.000269,-4.818463,0.001313,-20.310035,1,ESPRE.2021-11-04T01:42:53.794.fits
59522.58193978993,1270.197157,4.34,5.0,1.502834,9105.781554,3.005669,61.445948,3.005669,49.516734,0.016345,178.493126,0.280517,0.201306,0.000144,0.347637,0.000113,0.141277,0.000269,-4.823188,0.001325,-20.321449,1,ESPRE.2021-11-04T01:48:53.346.fits
59522.60751282005,1266.056857,2.8,3.45,1.496293,9096.800266,2.992587,58.457534,2.992587,49.498982,0.016284,178.413409,0.281035,0.200091,0.000142,0.348355,0.000112,0.141201,0.000269,-4.823564,0.001329,-20.39214,1,ESPRE.2021-11-04T02:25:45.869.fits
59522.61174564995,1263.299096,2.54,3.2,1.443244,9093.384901,2.886488,61.224845,2.886488,49.532728,0.015723,180.020998,0.262447,0.202668,0.000136,0.348047,0.000107,0.14274,0.000251,-4.81603,0.001219,-20.403801,1,ESPRE.2021-11-04T02:31:48.024.fits
59522.61591725005,1266.951913,2.29,2.94,1.427356,9092.794104,2.854713,59.317145,2.854713,49.583892,0.015567,181.907362,0.257103,0.20225,0.000135,0.348726,0.000106,0.144547,0.000246,-4.807352,0.001171,-20.415264,1,ESPRE.2021-11-04T02:37:47.708.fits
59522.62006710982,1272.491695,2.04,2.69,1.44351,9090.99233,2.88702,58.232445,2.88702,49.584103,0.015746,179.582773,0.262145,0.201321,0.000136,0.34596,0.000107,0.142321,0.000251,-4.818071,0.001224,-20.42663,1,ESPRE.2021-11-04T02:43:47.240.fits
59522.62424253021,1279.152236,1.79,2.44,1.44674,9089.259043,2.89348,60.629107,2.89348,49.58484,0.015785,178.218594,0.263697,0.200854,0.000137,0.34676,0.000107,0.141014,0.000253,-4.824486,0.001249,-20.438023,1,ESPRE.2021-11-04T02:49:46.833.fits
59522.62839778978,1285.89715,1.54,2.19,1.491307,9085.168093,2.982614,56.366247,2.982614,49.565479,0.016272,179.160837,0.280499,0.200992,0.000142,0.348092,0.000112,0.141917,0.000269,-4.820045,0.001315,-20.44931,1,ESPRE.2021-11-04T02:55:48.950.fits
