rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,berv,weight,file_rootpath
60001.70161909005,-249.854906,10.48,9.66,4.468949,12308.085818,8.937898,22.802264,8.937898,31.578528,0.022932,153.227266,0.520702,0.198124,0.000266,0.408086,0.000214,0.117076,0.000499,10.55057,1,ESPRE.2023-02-26T04:37:33.906.fits
60001.70824408997,-266.31108,9.75,8.94,5.750857,12266.411717,11.501713,11.838218,11.501713,31.543027,0.029577,152.494407,0.808947,0.20052,0.000366,0.407457,0.000294,0.116374,0.000775,10.531281,1,ESPRE.2023-02-26T04:46:46.755.fits
60001.71462879982,-255.092185,9.06,8.25,4.67684,12303.67725,9.35368,0.723594,9.35368,31.57451,0.024004,151.578584,0.564844,0.201887,0.000282,0.403783,0.000226,0.115497,0.000541,10.512561,1,ESPRE.2023-02-26T04:56:00.023.fits
60001.72099412,-261.091337,8.36,7.55,4.330014,12309.725632,8.660027,21.185956,8.660027,31.539063,0.022188,152.776803,0.488827,0.198618,0.000256,0.405577,0.000205,0.116644,0.000468,10.493795,1,ESPRE.2023-02-26T05:05:13.004.fits
60001.72724566981,-261.30916,7.68,6.87,4.026169,12280.340368,8.052338,24.394878,8.052338,31.609793,0.020727,157.627857,0.431452,0.202544,0.000238,0.403139,0.000188,0.121291,0.000413,10.475289,1,ESPRE.2023-02-26T05:14:25.975.fits
60001.73379294016,-262.069084,6.97,6.16,4.272641,12277.142137,8.545283,15.806451,8.545283,31.584786,0.021984,153.993641,0.478547,0.20088,0.000255,0.402387,0.000202,0.11781,0.000458,10.455855,1,ESPRE.2023-02-26T05:23:38.692.fits
60001.74010899989,-261.866103,6.28,5.47,4.174629,12291.94732,8.349257,16.406882,8.349257,31.605176,0.021468,156.49564,0.460506,0.201883,0.000248,0.40239,0.000196,0.120207,0.000441,10.437081,1,ESPRE.2023-02-26T05:32:51.723.fits
60001.74646017002,-259.214945,5.59,4.78,4.018216,12284.068965,8.036432,11.927768,8.036432,31.58455,0.020663,154.993255,0.426437,0.202093,0.000237,0.405736,0.000187,0.118767,0.000408,10.418204,1,ESPRE.2023-02-26T05:42:04.946.fits
60001.75292214984,-249.002521,4.89,4.07,3.868975,12282.834345,7.737951,4.978434,7.737951,31.661942,0.019946,154.561919,0.398309,0.203721,0.000228,0.408295,0.00018,0.118354,0.000382,10.399023,1,ESPRE.2023-02-26T05:51:18.154.fits
60001.75932367006,-233.77169,4.19,3.38,3.942482,12258.967751,7.884965,7.186346,7.884965,31.679717,0.020376,157.4706,0.415029,0.202768,0.000233,0.408122,0.000184,0.12114,0.000398,10.380076,1,ESPRE.2023-02-26T06:00:31.387.fits
60001.765676890034,-215.962821,3.5,2.68,4.236996,12273.42037,8.473992,-8.179138,8.473992,31.624888,0.021835,151.410374,0.469272,0.201313,0.000253,0.407802,0.000201,0.115336,0.000449,10.361349,1,ESPRE.2023-02-26T06:09:44.626.fits
60001.77212338988,-200.615605,2.79,1.98,3.857646,12262.648445,7.715292,-8.215562,7.715292,31.642837,0.019909,155.124299,0.395283,0.201414,0.000227,0.40961,0.000179,0.118893,0.000379,10.342452,1,ESPRE.2023-02-26T06:18:58.158.fits
60001.77855126001,-208.033545,2.09,1.28,4.03852,12296.054848,8.07704,-27.464884,8.07704,31.542622,0.02072,154.817014,0.426822,0.202024,0.000237,0.40751,0.000188,0.118599,0.000409,10.323742,1,ESPRE.2023-02-26T06:28:10.870.fits
60001.78488712991,-221.989044,1.4,0.59,4.024187,12344.026918,8.048375,-24.062781,8.048375,31.444698,0.020502,156.797259,0.420398,0.202539,0.000235,0.407476,0.000186,0.120495,0.000403,10.305454,1,ESPRE.2023-02-26T06:37:24.102.fits
