star,Name,gaia_dr3,Teff,eTeff,Logg,eLogg,[Fe/H],e[Fe/H],Vt,eVt,Gmag,Plx,Distance,Mass_t,Radius_t,SWFlag,Reference,Link,Update,Database
55CncA,55 Cnc,704967037090946688,5363.0,59.0,4.29,0.14,0.33,0.04,1.0,0.09,5.7327,79.4482,12.5868175742182,0.9227483583266282,0.901202973770024,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
AUMic,AU Mic,6794047652729201024,3700.0,100.0,,,,,,,7.8434,102.9432,9.714094762937233,0.5126278609198136,0.6977408324410812,0,Plavchan et al.2020,https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract,2020-07-08,EU;NASA
EpsilonIndi,eps Ind A,6412595290592307840,4694.0,115.0,4.4,0.33,-0.17,0.04,0.23,0.65,4.3229,274.8431,3.63843953149997,0.6956426619763943,0.8835420895645217,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
GJ436,GJ 436,4017860992519744384,3478.0,91.0,,,-0.08,0.11,,,9.582008,102.3014,9.775037291767267,0.417587714007907,0.3848872871308634,1,Antoniadis-Karnavas et al. 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240815808A/abstract,2024-06-26,EU;NASA
HAT-P-26,HAT-P-26,3668036348641580288,5001.0,61.0,4.21,0.15,0.01,0.04,0.52,0.16,11.4618,6.9985,142.887761663214,0.7790030763248241,0.8443072407885511,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD102365,HD 102365 A,5381537023379295232,5629.0,17.0,4.43,0.03,-0.3,0.01,0.88,0.03,4.7017,107.3024,9.31945604198974,0.8709868490566399,1.0111190176991929,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD106315,HD 106315,3698307419878650240,6591.0,87.0,4.75,0.1,-0.06,0.05,1.97,0.14,8.8954,9.1725,109.021531752521,1.243873655322775,1.177066234305954,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD10700,tau Cet,2452378776434477184,5295.0,23.0,4.43,0.04,-0.54,0.02,0.57,0.06,3.3004,273.8097,3.6521715629504703,0.7519793058755299,0.8705317298627001,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD189733,HD 189733,1827242816201846144,4969.0,48.0,4.3,0.12,-0.08,0.03,0.78,0.1,7.4284,50.5668,19.7758212898582,0.7510973302105977,0.7868581644267938,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD20794,HD 20794,4847957293278177024,5422.0,39.0,4.53,0.08,-0.42,0.03,0.54,0.11,4.0639,165.5242,6.04141267560876,0.801365996381229,0.9659065862013568,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
HD209458,HD 209458,1779546757669063552,6126.0,18.0,4.5,0.04,0.04,0.01,1.22,0.03,7.5212,20.7694,48.14775583310061,1.117769277991213,1.1577137377501885,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
